document,label,index,form,posTag,nerLabel,head,depLabel
0,van_hoa,2,ngày,N,O,11,tmp
0,van_hoa,5,người,N,O,11,sub
0,van_hoa,6,hâm_mộ,V,O,5,nmod
0,van_hoa,8,sơn_tùng,Np,B-PER,7,pob
0,van_hoa,9,m-tp,Np,I-PER,8,nmod
0,van_hoa,11,đi,V,O,0,root
0,van_hoa,13,bất_ngờ,A,O,12,pob
0,van_hoa,17,khác,A,O,15,dep
0,van_hoa,18,khi,N,O,15,pob
0,van_hoa,19,liên_tiếp,A,O,18,nmod
0,van_hoa,20,ra_mắt,V,O,18,nmod
0,van_hoa,21,nghệ_sĩ,N,O,20,dob
0,van_hoa,22,độc_quyền,A,O,21,nmod
0,van_hoa,23,trực_thuộc,V,O,18,nmod
0,van_hoa,25,entertainment,Np,B-ORG,24,nmod
0,van_hoa,7,bắt_gặp,V,O,3,vmod
0,van_hoa,8,hình_ảnh,N,O,7,dob
0,van_hoa,10,chủ_tịch,N,O,8,nmod
0,van_hoa,12,nguyễn_thanh_tùng,Np,B-PER,8,nmod
0,van_hoa,13,chụp,V,O,8,nmod
0,van_hoa,14,hình,N,O,13,vmod
0,van_hoa,15,cùng,A,O,14,nmod
0,van_hoa,17,nghệ_sĩ,N,O,14,nmod
0,van_hoa,19,được,V,O,0,root
0,van_hoa,20,công_bố,V,O,19,vmod
0,van_hoa,24,khoảnh_khắc,N,O,27,sub
0,van_hoa,25,nam,N,O,24,nmod
0,van_hoa,26,ca_sĩ,N,O,24,nmod
0,van_hoa,27,xuất_hiện,V,O,19,dep
0,van_hoa,28,bên,N,O,27,loc
0,van_hoa,29,cạnh,N,O,28,nmod
0,van_hoa,32,đạo_diễn,N,O,31,nmod
0,van_hoa,33,khiến,V,O,27,vmod
0,van_hoa,34,nhiều,A,O,35,nmod
0,van_hoa,35,người,N,O,33,dob
0,van_hoa,37,khỏi,V,O,35,nmod
0,van_hoa,38,chú_ý,V,O,37,vmod
1,van_hoa,1,là,V,O,0,root
1,van_hoa,5,ngôi_sao,N,O,3,pob
1,van_hoa,6,trẻ,A,O,5,nmod
1,van_hoa,7,có,V,O,5,nmod
1,van_hoa,8,sức,N,O,7,dob
1,van_hoa,9,ảnh_hưởng,V,O,8,nmod
1,van_hoa,10,lớn,A,O,9,vmod
1,van_hoa,13,việt,Np,I-MISC,12,nmod
1,van_hoa,16,động_thái,N,O,21,sub
1,van_hoa,18,sơn_tùng,Np,B-PER,17,pob
1,van_hoa,19,m-tp,Np,I-PER,18,nmod
1,van_hoa,21,khiến,V,O,1,vmod
1,van_hoa,22,dư_luận,N,O,21,dob
1,van_hoa,23,chú_ý,V,O,22,nmod
1,van_hoa,1,sơn_tùng,Nc,B-PER,4,sub
1,van_hoa,2,m-tp,Np,I-PER,1,nmod
1,van_hoa,4,giấu,V,O,0,root
1,van_hoa,6,sự,N,O,4,dob
1,van_hoa,7,hào_hứng,V,O,6,nmod
1,van_hoa,8,khi,N,O,6,tmp
1,van_hoa,9,có,V,O,8,nmod
1,van_hoa,10,tóc,N,O,9,dob
1,van_hoa,11,mới,A,O,10,nmod
1,van_hoa,14,trạng_thái,N,O,13,nmod
1,van_hoa,15,dài,A,O,13,nmod
1,van_hoa,16,viết,V,O,13,nmod
1,van_hoa,19,anh,Np,I-MISC,18,nmod
1,van_hoa,22,eventually,Np,O,23,sub
1,van_hoa,23,i,V,O,6,nmod
1,van_hoa,24,got,V,O,23,vmod
1,van_hoa,25,back,N,O,24,dob
1,van_hoa,26,to,A,O,25,nmod
1,van_hoa,27,this,N,O,26,amod
1,van_hoa,28,hairstyle,N,O,27,nmod
1,van_hoa,29,man,A,O,27,nmod
1,van_hoa,1,happy,Np,B-PER,2,sub
1,van_hoa,2,monday,V,O,0,root
1,van_hoa,3,guys,N,O,2,dob
1,van_hoa,5,cuối_cùng,A,O,8,tmp
1,van_hoa,8,trở_lại,V,O,2,dep
1,van_hoa,10,kiểu,N,O,9,pob
1,van_hoa,11,tóc,N,O,10,nmod
2,doi_song,2,là,V,O,0,root
2,doi_song,3,chuyện,N,O,2,dob
2,doi_song,4,tình,N,O,3,nmod
2,doi_song,5,đáng,V,O,4,nmod
2,doi_song,6,ngưỡng_mộ,V,O,5,vmod
2,doi_song,8,cặp,N,O,7,pob
2,doi_song,10,trang_lou,Np,O,8,nmod
2,doi_song,12,tùng,Np,B-PER,8,nmod
2,doi_song,13,sơn,Np,I-PER,8,nmod
2,doi_song,1,người,N,O,4,sub
2,doi_song,4,nghĩ,V,O,0,root
2,doi_song,7,chàng,N,O,17,sub
2,doi_song,8,trai,N,O,7,nmod
2,doi_song,10,bên,N,O,9,pob
2,doi_song,11,cạnh,N,O,10,nmod
2,doi_song,12,bạn,N,O,10,nmod
2,doi_song,13,năm,N,O,12,nmod
2,doi_song,15,tuổi,N,O,12,nmod
2,doi_song,17,cùng,A,O,4,vmod
2,doi_song,18,bạn,N,O,17,amod
2,doi_song,19,đi,V,O,17,vmod
2,doi_song,20,suốt,A,O,19,vmod
2,doi_song,21,cuộc_đời,N,O,20,amod
2,doi_song,24,gần,A,O,26,nmod
2,doi_song,26,năm,N,O,49,tmp
2,doi_song,28,qua,V,O,26,nmod
2,doi_song,30,ngược_xuôi,V,O,28,vmod
2,doi_song,31,ngang_dọc,N,O,30,dob
2,doi_song,34,trai,N,O,33,nmod
2,doi_song,35,năm,N,O,33,tmp
2,doi_song,37,tuổi,N,O,35,nmod
2,doi_song,39,trang_lou,Np,B-PER,38,pob
2,doi_song,45,giữ,V,O,42,vmod
2,doi_song,46,chặt,A,O,45,vmod
2,doi_song,47,tay,N,O,45,dob
2,doi_song,48,nhau,N,O,47,nmod
2,doi_song,49,đi,V,O,23,conj
2,doi_song,50,thêm,V,O,49,vmod
2,doi_song,52,nhiều,A,O,53,nmod
2,doi_song,53,lần,N,O,49,ext
2,doi_song,55,năm,N,O,49,tmp
2,doi_song,57,đường,N,O,56,pob
2,doi_song,58,đời,N,O,57,nmod
2,doi_song,59,dài_dằng_dặc,A,O,57,nmod
3,chinh_tri_xa_hoi,1,khoá_luyện,N,O,2,sub
3,chinh_tri_xa_hoi,2,thi,V,O,0,root
3,chinh_tri_xa_hoi,3,tốt_nghiệp,V,O,2,vmod
3,chinh_tri_xa_hoi,4,thpt,Ny,O,3,dob
3,chinh_tri_xa_hoi,6,đại_học,N,O,14,sub
3,chinh_tri_xa_hoi,7,môn,N,O,6,nmod
3,chinh_tri_xa_hoi,8,ngữ_văn,Np,O,7,nmod
3,chinh_tri_xa_hoi,9,năm,N,O,6,nmod
3,chinh_tri_xa_hoi,12,thầy_giáo,N,O,11,pob
3,chinh_tri_xa_hoi,13,trần_minh_tùng,Np,B-PER,12,nmod
3,chinh_tri_xa_hoi,14,bám,V,O,5,conj
3,chinh_tri_xa_hoi,15,sát,A,O,14,vmod
3,chinh_tri_xa_hoi,16,chương_trình,N,O,14,dob
3,chinh_tri_xa_hoi,18,bộ,Np,B-ORG,22,sub
3,chinh_tri_xa_hoi,19,giáo_dục,N,I-ORG,18,nmod
3,chinh_tri_xa_hoi,20,và,Cc,I-ORG,2,coord
3,chinh_tri_xa_hoi,21,đào_tạo,V,I-ORG,20,conj
3,chinh_tri_xa_hoi,22,ban_hành,V,O,21,vmod
4,the_thao,2,giống,A,O,0,root
4,the_thao,5,trận,N,O,2,amod
4,the_thao,6,đấu,V,O,5,nmod
4,the_thao,7,trước_đây,N,O,5,nmod
4,the_thao,9,bạn,N,O,14,sub
4,the_thao,10,gái,N,O,9,nmod
4,the_thao,12,quang_hải,Np,B-PER,11,pob
4,the_thao,14,tỏ,V,O,2,dep
4,the_thao,16,e_thẹn,V,O,14,vmod
4,the_thao,18,ống_kính,N,O,17,pob
4,the_thao,21,phóng_viên,N,O,19,pob
4,the_thao,3,huỳnh_anh,Np,B-PER,5,sub
4,the_thao,5,tỏ,V,O,0,root
4,the_thao,8,thân_mật,A,O,5,vmod
4,the_thao,10,bố_mẹ,N,O,9,pob
4,the_thao,11,bạn,N,O,10,nmod
4,the_thao,12,trai,N,O,11,nmod
4,the_thao,14,cùng,A,O,15,vmod
4,the_thao,15,bay,V,O,5,vmod
4,the_thao,17,tp,Ny,B-LOC,20,sub
4,the_thao,18,hcm,Ny,I-LOC,17,nmod
4,the_thao,20,cổ_vũ,V,O,19,vmod
4,the_thao,22,tiền_vệ,N,O,21,pob
4,the_thao,24,đông_anh,Np,I-MISC,23,nmod
4,the_thao,26,clb,Ny,B-ORG,22,nmod
4,the_thao,27,hà_nội,Np,I-ORG,26,nmod
5,van_hoa,1,tối,N,O,11,tmp
5,van_hoa,4,dự_án,N,O,11,sub
5,van_hoa,5,phim,N,O,4,nmod
5,van_hoa,6,hoa_hậu,Np,O,5,nmod
5,van_hoa,7,giang_hồ,N,O,4,nmod
5,van_hoa,9,đạo_diễn,N,O,8,pob
5,van_hoa,10,lương_mạnh_hải,Np,B-PER,9,nmod
5,van_hoa,11,ra_mắt,V,O,0,root
5,van_hoa,12,có,V,O,11,vmod
5,van_hoa,13,sự,N,O,12,dob
5,van_hoa,14,tham_dự,V,O,13,nmod
5,van_hoa,16,nhiều,A,O,17,nmod
5,van_hoa,17,nghệ_sĩ,N,O,15,pob
5,van_hoa,19,thanh_hằng,Np,B-PER,17,nmod
5,van_hoa,21,vũ_ngọc_đãng,Np,B-PER,19,nmod
5,van_hoa,23,minh_tú,Np,B-PER,19,nmod
5,van_hoa,25,cao_thiên_trang,Np,B-PER,19,nmod
5,van_hoa,1,đặc_biệt,A,O,9,adv
5,van_hoa,3,sự,N,O,9,sub
5,van_hoa,4,xuất_hiện,V,O,3,nmod
5,van_hoa,6,tăng_thanh_hà,Np,B-PER,5,pob
5,van_hoa,8,thảm_đỏ,N,O,7,pob
5,van_hoa,9,thu_hút,V,O,0,root
5,van_hoa,10,sự,N,O,9,dob
5,van_hoa,11,quan_tâm,V,O,10,nmod
5,van_hoa,13,báo_giới,N,O,12,pob
6,van_hoa,2,sai,A,O,12,prd
6,van_hoa,4,nói,V,O,2,vmod
6,van_hoa,5,ngọc_trinh,Np,B-PER,8,sub
6,van_hoa,7,vũ_khắc_tiệp,Np,B-PER,6,conj
6,van_hoa,8,là,V,O,4,vmod
6,van_hoa,9,bộ,N,O,8,vmod
6,van_hoa,12,biết,V,O,0,root
6,van_hoa,13,cách,N,O,14,sub
6,van_hoa,14,khiến,V,O,12,vmod
6,van_hoa,15,dân_tình,N,O,14,dob
6,van_hoa,16,phải,V,O,14,iob
6,van_hoa,17,quan_tâm,V,O,16,vmod
6,van_hoa,19,đời_sống,N,O,18,pob
6,van_hoa,20,cá_nhân,N,O,19,nmod
7,the_gioi,2,trump,Np,B-PER,1,nmod
7,the_gioi,4,cuộc,N,O,3,pob
7,the_gioi,5,họp,V,O,4,nmod
7,the_gioi,7,nhà_trắng,Np,B-LOC,6,pob
7,the_gioi,8,hôm,N,O,4,tmp
7,the_gioi,10,nói,V,O,0,root
7,the_gioi,12,chính_phủ,N,O,14,sub
7,the_gioi,14,nhận,V,O,10,vmod
7,the_gioi,17,phần_trăm,N,O,14,dob
7,the_gioi,18,lớn,A,O,17,nmod
7,the_gioi,21,việc,N,O,20,pob
7,the_gioi,22,bán,V,O,21,nmod
7,the_gioi,23,mảng,N,O,22,dob
7,the_gioi,24,kinh_doanh,V,O,23,nmod
7,the_gioi,26,tiktok,Np,O,25,pob
7,the_gioi,28,mỹ,Np,B-LOC,27,pob
7,the_gioi,30,số,N,O,21,nmod
7,the_gioi,31,tiền,N,O,30,nmod
7,the_gioi,32,bán,V,O,30,nmod
7,the_gioi,34,là,V,O,14,vmod
7,the_gioi,38,đe_doạ,V,O,10,vmod
7,the_gioi,40,khiến,V,O,38,vmod
7,the_gioi,41,ứng_dụng,N,O,40,dob
7,the_gioi,42,thuộc,V,O,41,nmod
7,the_gioi,43,sở_hữu,N,O,42,vmod
7,the_gioi,45,gã,N,O,44,pob
7,the_gioi,46,khổng_lồ,A,O,45,nmod
7,the_gioi,47,công_nghệ,N,O,50,sub
7,the_gioi,48,trung_quốc,Np,B-LOC,47,nmod
7,the_gioi,49,bytedance,Np,O,47,nmod
7,the_gioi,50,ngưng,V,O,40,vmod
7,the_gioi,51,hoạt_động,V,O,50,vmod
7,the_gioi,53,mỹ,Np,B-LOC,52,pob
7,the_gioi,57,được,V,O,53,vmod
7,the_gioi,58,bán,V,O,57,vmod
7,the_gioi,60,hạn,N,O,59,pob
7,the_gioi,61,cuối,N,O,60,nmod
7,the_gioi,63,ngày,N,O,62,pob
7,the_gioi,67,reuters,Np,B-ORG,66,pob
8,the_gioi,1,cụ_thể,A,O,5,adv
8,the_gioi,4,biden,Np,B-PER,3,nmod
8,the_gioi,5,dẫn,V,O,0,root
8,the_gioi,7,tổng_thống,N,O,6,pob
8,the_gioi,8,đương_nhiệm,V,O,7,nmod
8,the_gioi,9,donald_trump,Np,B-PER,7,nmod
8,the_gioi,12,bang,N,B-LOC,10,pob
8,the_gioi,13,michigan,Np,I-LOC,12,nmod
8,the_gioi,15,arizona,Np,B-LOC,13,nmod
8,the_gioi,17,florida,Np,B-LOC,16,conj
8,the_gioi,2,michigan,Np,B-LOC,1,pob
8,the_gioi,5,biden,Np,B-PER,4,nmod
8,the_gioi,6,được,V,O,0,root
8,the_gioi,8,ý_kiến,N,O,6,dob
8,the_gioi,9,ủng_hộ,V,O,8,nmod
8,the_gioi,11,chênh_lệch,A,O,8,nmod
8,the_gioi,13,xa,A,O,11,amod
8,the_gioi,14,so,V,O,11,vmod
8,the_gioi,16,tỉ_lệ,N,O,15,pob
8,the_gioi,20,trump,Np,B-PER,19,nmod
8,the_gioi,2,arizona,Np,B-LOC,1,pob
8,the_gioi,4,tỉ_lệ,N,O,8,sub
8,the_gioi,5,ủng_hộ,V,O,4,nmod
8,the_gioi,7,cử_tri,N,O,6,pob
8,the_gioi,8,được,V,O,0,root
8,the_gioi,9,hỏi,V,O,8,vmod
8,the_gioi,12,biden,Np,B-PER,11,nmod
8,the_gioi,15,trump,Np,B-PER,14,nmod
8,the_gioi,17,là,V,O,8,vmod
8,the_gioi,19,so,V,O,17,vmod
8,the_gioi,24,khi,N,O,23,pob
8,the_gioi,26,florida,Np,B-LOC,25,pob
8,the_gioi,29,biden,Np,B-PER,28,nmod
8,the_gioi,30,dẫn,V,O,8,dep
8,the_gioi,33,trump,Np,B-PER,32,nmod
8,the_gioi,37,tỉ_lệ,N,O,36,pob
8,the_gioi,39,so,V,O,8,vmod
8,the_gioi,2,khảo_sát,N,O,1,pob
8,the_gioi,5,cử_tri,N,O,12,sub
8,the_gioi,8,bang,N,O,6,pob
8,the_gioi,9,nói,V,O,8,nmod
8,the_gioi,10,trên,N,O,9,vmod
8,the_gioi,12,đồng_ý,V,O,0,root
8,the_gioi,14,cách,N,O,13,pob
8,the_gioi,15,xử_lý,V,O,14,nmod
8,the_gioi,16,vấn_đề,N,O,15,dob
8,the_gioi,17,chủng_tộc,N,O,16,nmod
8,the_gioi,19,cách,N,O,18,conj
8,the_gioi,20,xử_lý,V,O,19,nmod
8,the_gioi,21,đại_dịch,N,O,20,dob
8,the_gioi,22,viêm,N,O,21,nmod
8,the_gioi,23,đường,N,O,22,nmod
8,the_gioi,24,hô_hấp,N,O,23,nmod
8,the_gioi,25,cấp,N,O,22,nmod
8,the_gioi,26,covid-,N,O,25,nmod
8,the_gioi,29,trump,Np,B-PER,28,nmod
8,the_gioi,4,cử_tri,N,O,5,sub
8,the_gioi,5,tin_tưởng,V,O,0,root
8,the_gioi,8,trump,Np,B-PER,7,nmod
8,the_gioi,10,cách,N,O,9,pob
8,the_gioi,11,điều_hành,V,O,10,nmod
8,the_gioi,12,nền,N,O,11,dob
8,the_gioi,13,kinh_tế,N,O,12,nmod
9,phap_luat,2,thanh_niên,N,O,1,nmod
9,phap_luat,3,có_mặt,V,O,0,root
9,phap_luat,5,bưu_điện,N,O,4,pob
9,phap_luat,7,h,N,O,6,pob
9,phap_luat,9,đơn,N,O,8,pob
9,phap_luat,10,trình_bày,V,O,9,nmod
9,phap_luat,12,luật_sư,N,O,11,pob
9,phap_luat,15,bản_án,N,O,23,sub
9,phap_luat,16,sơ_thẩm,V,O,15,nmod
9,phap_luat,18,phúc_thẩm,V,O,17,conj
9,phap_luat,20,quyết_định,V,O,3,vmod
9,phap_luat,21,giám_đốc_thẩm,N,O,20,vmod
9,phap_luat,23,thể_hiện,V,O,3,dep
9,phap_luat,24,khoảng,N,O,26,nmod
9,phap_luat,26,ngày,N,O,23,tmp
9,phap_luat,28,hải,Np,B-PER,29,sub
9,phap_luat,29,gọi,V,O,23,vmod
9,phap_luat,30,điện_thoại,N,O,29,dob
9,phap_luat,32,tiệm,N,O,31,pob
9,phap_luat,33,cầm_đồ,N,O,32,nmod
9,phap_luat,37,hải,Np,B-PER,38,sub
9,phap_luat,38,ghé,V,O,23,vmod
9,phap_luat,39,quán,N,O,38,loc
9,phap_luat,40,cà_phê,N,O,39,nmod
9,phap_luat,42,trả,V,O,23,vmod
9,phap_luat,43,tiền,N,O,42,dob
9,phap_luat,44,nợ,N,O,43,nmod
9,phap_luat,46,bạn,N,O,45,pob
9,phap_luat,49,chạy,V,O,48,conj
9,phap_luat,51,bưu_điện,N,O,50,pob
9,phap_luat,52,cầu,Np,B-LOC,51,nmod
9,phap_luat,53,voi,Np,I-LOC,51,nmod
9,phap_luat,55,có_mặt,V,O,54,conj
9,phap_luat,58,khoảng,N,O,55,tmp
9,phap_luat,4,hải,Np,B-PER,5,sub
9,phap_luat,5,ra_tay,V,O,0,root
9,phap_luat,6,giết,V,O,5,vmod
9,phap_luat,7,chết,V,O,6,vmod
9,phap_luat,9,nạn_nhân,N,O,6,dob
9,phap_luat,1,bản_án,N,O,0,root
9,phap_luat,2,thể_hiện,V,O,1,nmod
9,phap_luat,3,có,V,O,2,vmod
9,phap_luat,4,nhiều,A,O,5,nmod
9,phap_luat,5,nhân_chứng,N,O,3,dob
9,phap_luat,6,nhìn,V,O,5,nmod
9,phap_luat,7,thấy,V,O,6,vmod
9,phap_luat,9,nam,N,O,11,sub
9,phap_luat,10,thanh_niên,N,O,9,nmod
9,phap_luat,11,có_mặt,V,O,5,nmod
9,phap_luat,13,bưu_điện,N,O,12,pob
9,phap_luat,15,thời_gian,N,O,13,nmod
9,phap_luat,20,lời,N,O,19,pob
9,phap_luat,21,khai,V,O,20,nmod
9,phap_luat,22,hải,Np,B-PER,20,nmod
9,phap_luat,24,thừa_nhận,V,O,18,conj
9,phap_luat,25,việc,N,O,27,sub
9,phap_luat,27,có_mặt,V,O,24,vmod
9,phap_luat,29,bưu_điện,N,O,28,pob
9,phap_luat,31,giết,V,O,30,conj
9,phap_luat,33,nạn_nhân,N,O,31,dob
9,phap_luat,1,luật_sư,N,O,3,sub
9,phap_luat,2,trần_hồng_phong,Np,B-PER,1,nmod
9,phap_luat,3,cho,V,O,0,root
9,phap_luat,5,thời_gian,N,O,10,tmp
9,phap_luat,6,gần,A,O,5,nmod
9,phap_luat,9,ông,N,O,10,sub
9,phap_luat,10,tiếp_nhận,V,O,3,vmod
9,phap_luat,12,nhiều,A,O,13,nmod
9,phap_luat,13,bút_lục,N,O,10,dob
9,phap_luat,16,ông,N,O,17,sub
9,phap_luat,17,tin_tưởng,V,O,15,conj
9,phap_luat,21,là,V,O,17,vmod
9,phap_luat,23,bút_lục,N,O,21,dob
9,phap_luat,24,nằm,V,O,23,nmod
9,phap_luat,26,hồ_sơ,N,O,25,pob
9,phap_luat,29,được,V,O,27,conj
9,phap_luat,30,rút,V,O,29,vmod
9,phap_luat,31,ra,V,O,30,adv
9,phap_luat,33,hồ_sơ,N,O,30,dob
9,phap_luat,35,án,N,O,34,nmod
9,phap_luat,37,có,V,O,21,vmod
9,phap_luat,38,đóng_dấu,V,O,37,vmod
9,phap_luat,39,bút_lục,N,O,38,dob
9,phap_luat,41,vks,Ny,O,40,pob
9,phap_luat,42,long_an,Np,B-LOC,41,nmod
9,phap_luat,2,số,N,O,1,pob
9,phap_luat,4,bút_lục,N,O,2,nmod
9,phap_luat,6,có,V,O,0,root
9,phap_luat,7,lời,N,O,6,dob
9,phap_luat,8,khai,V,O,7,nmod
9,phap_luat,11,hồ_văn_bình,Np,B-PER,10,nmod
9,phap_luat,1,theo,V,O,10,mnr
9,phap_luat,4,lời,N,O,10,sub
9,phap_luat,5,khai,V,O,4,nmod
9,phap_luat,8,hồ_văn_bình,Np,B-PER,7,nmod
9,phap_luat,10,lấy,V,O,0,root
9,phap_luat,11,sau,N,O,10,dob
9,phap_luat,12,khi,N,O,10,tmp
9,phap_luat,13,vụ,N,O,15,sub
9,phap_luat,14,án_mạng,V,O,13,nmod
9,phap_luat,15,xảy,V,O,12,nmod
9,phap_luat,17,ngày,N,O,15,tmp
9,phap_luat,20,sau,N,O,15,vmod
9,phap_luat,23,chiều,N,O,31,tmp
9,phap_luat,24,chủ_nhật,N,O,23,nmod
9,phap_luat,27,lúc,N,O,10,tmp
9,phap_luat,31,có,V,O,10,dep
9,phap_luat,32,vào,V,O,31,vmod
9,phap_luat,33,bưu_điện,N,O,32,dob
9,phap_luat,34,gửi,V,O,31,vmod
9,phap_luat,35,xe_gắn_máy,N,O,34,dob
9,phap_luat,37,đi,V,O,36,vmod
9,phap_luat,38,bộ,N,O,37,vmod
9,phap_luat,40,nhà,N,O,39,pob
9,phap_luat,42,hai,Np,B-PER,41,nmod
9,phap_luat,2,nhìn,V,O,0,root
9,phap_luat,5,thấy,V,O,4,conj
9,phap_luat,6,vân,Np,B-PER,7,sub
9,phap_luat,7,ngồi,V,O,5,vmod
9,phap_luat,9,quầy,N,O,8,pob
9,phap_luat,10,tính,V,O,9,nmod
9,phap_luat,11,tiền,N,O,10,dob
9,phap_luat,14,hồng,Np,B-PER,15,sub
9,phap_luat,15,ngồi,V,O,13,conj
9,phap_luat,17,ghế,N,O,16,pob
9,phap_luat,21,thanh_niên,N,O,19,pob
9,phap_luat,1,lúc,N,O,3,tmp
9,phap_luat,3,kêu,V,O,0,root
9,phap_luat,4,vân,Np,B-PER,3,dob
9,phap_luat,6,gửi,V,O,3,vmod
9,phap_luat,7,xe,N,O,6,dob
9,phap_luat,9,người,N,O,12,sub
9,phap_luat,10,thanh_niên,N,O,9,nmod
9,phap_luat,12,có,V,O,8,conj
9,phap_luat,13,nhìn,V,O,12,vmod
9,phap_luat,15,phía,N,O,13,loc
9,phap_luat,3,điều_tra_viên,N,O,5,sub
9,phap_luat,4,lê_thành_trung,Np,B-PER,3,nmod
9,phap_luat,5,hỏi,V,O,0,root
9,phap_luat,7,bình,Np,B-PER,6,nmod
9,phap_luat,10,anh,N,O,11,sub
9,phap_luat,11,xác_định,V,O,8,dep
9,phap_luat,12,gửi,V,O,11,vmod
9,phap_luat,13,xe,N,O,12,dob
9,phap_luat,14,lúc,N,O,12,tmp
9,phap_luat,2,bình,Np,B-PER,1,nmod
9,phap_luat,3,trả_lời,V,O,0,root
9,phap_luat,4,rõ_ràng,A,O,3,vmod
9,phap_luat,8,xác_định,V,O,3,vmod
9,phap_luat,13,hôm,N,O,17,tmp
9,phap_luat,16,hai,Np,B-PER,15,nmod
9,phap_luat,17,đi,V,O,12,dep
9,phap_luat,18,lấy,V,O,17,vmod
9,phap_luat,19,vàng,N,O,18,dob
9,phap_luat,21,về,V,O,17,vmod
9,phap_luat,2,có,V,O,0,root
9,phap_luat,3,nhìn,V,O,2,vmod
9,phap_luat,4,đồng_hồ,N,O,3,dob
9,phap_luat,6,nhà,N,O,5,pob
9,phap_luat,8,hai,Np,B-PER,7,nmod
9,phap_luat,10,xác_định,V,O,3,vmod
9,phap_luat,16,nói,V,O,2,dep
9,phap_luat,17,anh,N,O,16,dob
9,phap_luat,19,hôm_nay,N,O,17,tmp
9,phap_luat,20,về,V,O,16,vmod
9,phap_luat,21,muộn,A,O,20,vmod
9,phap_luat,1,khi,N,O,11,tmp
9,phap_luat,3,qua,V,O,1,nmod
9,phap_luat,4,nhà,N,O,3,loc
9,phap_luat,6,hai,Np,B-PER,5,nmod
9,phap_luat,9,hai,Np,B-PER,8,nmod
9,phap_luat,11,về,V,O,0,root
9,phap_luat,14,quay,V,O,11,dep
9,phap_luat,16,lấy,V,O,14,vmod
9,phap_luat,17,xe,N,O,16,dob
9,phap_luat,19,hồng,Np,B-PER,24,sub
9,phap_luat,21,thanh_niên,N,O,24,sub
9,phap_luat,24,ngồi,V,O,20,conj
9,phap_luat,25,bình_thường,A,O,24,vmod
9,phap_luat,28,vân,Np,B-PER,29,sub
9,phap_luat,29,đứng,V,O,27,conj
9,phap_luat,30,dựa,V,O,29,vmod
9,phap_luat,32,quầy,N,O,31,pob
9,phap_luat,33,nhìn,V,O,32,nmod
9,phap_luat,35,phía,N,O,33,loc
9,phap_luat,36,hồng,Np,O,35,nmod
9,phap_luat,38,thanh_niên,N,O,37,conj
9,phap_luat,3,căn_cứ,N,O,0,root
9,phap_luat,5,lời,N,O,4,pob
9,phap_luat,6,khai,V,O,5,nmod
9,phap_luat,9,bình,Np,B-PER,8,nmod
9,phap_luat,11,tình_hình,N,O,8,nmod
9,phap_luat,12,thực_tế,N,O,11,nmod
9,phap_luat,14,lúc,N,O,19,tmp
9,phap_luat,17,hồ_duy_hải,Np,B-PER,19,sub
9,phap_luat,19,còn,V,O,0,root
9,phap_luat,21,tiệm,N,O,20,pob
9,phap_luat,22,cầm_đồ,N,O,21,nmod
9,phap_luat,26,về,V,O,24,conj
9,phap_luat,28,bưu_điện,N,O,27,pob
9,phap_luat,30,ngồi,V,O,29,vmod
9,phap_luat,31,cùng,A,O,30,vmod
9,phap_luat,32,vân,N,O,31,amod
9,phap_luat,34,bưu_cục,N,O,33,pob
9,phap_luat,2,lời,N,O,1,pob
9,phap_luat,3,khai,V,O,2,nmod
9,phap_luat,7,hồ_văn_bình,Np,B-PER,6,nmod
9,phap_luat,11,quyết_định,N,O,10,pob
9,phap_luat,12,giám_đốc_thẩm,N,O,11,nmod
9,phap_luat,14,hđtp,Ny,O,13,pob
9,phap_luat,15,tand,Ny,B-ORG,14,nmod
9,phap_luat,16,tối_cao,Np,I-ORG,15,nmod
9,phap_luat,19,thể_hiện,V,O,0,root
9,phap_luat,4,quyết_định,N,O,3,pob
9,phap_luat,7,nêu,V,O,0,root
9,phap_luat,9,lúc,N,O,8,pob
9,phap_luat,10,hơn,A,O,12,nmod
9,phap_luat,13,bình,Np,B-PER,12,nmod
9,phap_luat,15,bưu_điện,N,O,14,pob
9,phap_luat,16,gửi,V,O,9,nmod
9,phap_luat,17,xe,N,O,16,dob
9,phap_luat,19,thấy,V,O,18,conj
9,phap_luat,21,thanh_niên,N,O,22,sub
9,phap_luat,22,ngồi,V,O,19,vmod
9,phap_luat,24,bưu_cục,N,O,23,pob
9,phap_luat,26,hồng,Np,B-PER,25,pob
9,phap_luat,30,quay,V,O,7,dep
9,phap_luat,32,lấy,V,O,30,vmod
9,phap_luat,33,xe,N,O,32,dob
9,phap_luat,36,thấy,V,O,34,conj
9,phap_luat,37,người,N,O,39,sub
9,phap_luat,39,ngồi,V,O,36,vmod
9,phap_luat,40,cùng,A,O,39,vmod
9,phap_luat,41,hồng,Np,B-PER,40,amod
